Date,Hour,PJM-E,PJM-W,NI,DAY,AEP,DUQ,DOM
12/31/05,100,28916,5199,10290,1706,14254,1458,9389
12/31/05,200,27614,5039,9650,1630,13761,1377,9070
12/31/05,300,26883,4958,9261,1586,13445,1351,9001
12/31/05,400,26531,4923,8994,1569,13306,1336,9042
12/31/05,500,26632,4864,8868,1566,13219,1356,9132
12/31/05,600,27137,4987,8876,1600,13433,1372,9353
12/31/05,700,28132,5135,9094,1655,13740,1402,9722
12/31/05,800,29229,5305,9481,1756,14354,1425,10193
12/31/05,900,30802,5538,9830,1831,14772,1502,10586
12/31/05,1000,32305,5791,10028,1936,15354,1556,10916
12/31/05,1100,33220,5925,10411,2005,15688,1603,10933
12/31/05,1200,33322,5914,10694,2029,15650,1615,10698
12/31/05,1300,33158,5876,10794,2030,15489,1617,10322
12/31/05,1400,32921,5748,10815,2032,15257,1630,9834
12/31/05,1500,32570,5656,10638,2017,15239,1619,9503
12/31/05,1600,32513,5686,10671,2027,15216,1613,9394
12/31/05,1700,33767,5839,10834,2044,15469,1683,9748
12/31/05,1800,36505,6192,11668,2151,16400,1764,10973
12/31/05,1900,36553,6225,12177,2152,16462,1786,11262
12/31/05,2000,35646,6038,12074,2061,16024,1737,10946
12/31/05,2100,34339,5790,11772,1984,15722,1726,10728
12/31/05,2200,33064,5617,11531,1908,15264,1669,10362
12/31/05,2300,31684,5393,11113,1836,14921,1592,9991
12/31/05,2400,30293,5243,10729,1769,14565,1493,9649
12/30/05,100,27337,5216,10462,1739,14714,1484,9046
12/30/05,200,26081,5039,9804,1678,14285,1419,8807
12/30/05,300,25505,4965,9401,1635,14116,1378,8843
12/30/05,400,25374,4937,9167,1624,13948,1359,8955
12/30/05,500,25910,4991,9103,1644,14057,1375,9299
12/30/05,600,27555,5267,9252,1720,14679,1437,9960
12/30/05,700,30054,5590,9780,1847,15515,1526,10907
12/30/05,800,31883,5874,10598,1990,16320,1626,11510
12/30/05,900,32944,6022,11150,2052,16607,1692,11630
12/30/05,1000,33669,6203,11421,2105,16814,1736,11350
12/30/05,1100,33900,6280,11695,2157,16868,1756,10943
12/30/05,1200,33684,6178,11900,2144,16737,1775,10580
12/30/05,1300,33323,6086,11947,2126,16328,1773,10212
12/30/05,1400,32928,5981,11907,2094,16145,1756,9915
12/30/05,1500,32586,5907,11903,2060,15873,1717,9659
12/30/05,1600,32550,5885,11972,2042,15793,1721,9583
12/30/05,1700,33989,6045,12193,2056,15836,1769,9926
12/30/05,1800,37292,6482,12823,2176,16820,1876,11198
12/30/05,1900,37410,6572,13249,2192,17139,1876,11543
12/30/05,2000,36799,6498,13045,2150,17065,1844,11478
12/30/05,2100,36157,6411,12755,2101,16886,1816,11331
12/30/05,2200,35086,6283,12438,2043,16582,1746,11073
12/30/05,2300,33294,5988,11905,1949,15970,1678,10622
12/30/05,2400,30900,5569,11143,1819,15279,1564,9945
12/29/05,100,27298,5018,10493,1647,13502,1396,8344
12/29/05,200,26002,4818,9944,1585,13237,1347,8083
12/29/05,300,25369,4738,9523,1568,13098,1309,7866
12/29/05,400,25199,4668,9313,1571,12967,1281,7865
12/29/05,500,25580,4742,9249,1614,13240,1308,8068
12/29/05,600,27110,5035,9437,1708,13943,1360,8547
12/29/05,700,29545,5358,10034,1868,15002,1455,9256
12/29/05,800,31781,5741,10986,2035,16076,1561,9878
12/29/05,900,33065,5914,11603,2116,16571,1645,10196
12/29/05,1000,34249,6115,11905,2177,17001,1704,10363
12/29/05,1100,34883,6259,12057,2226,17230,1743,10489
12/29/05,1200,34943,6284,12234,2240,17312,1736,10429
12/29/05,1300,34712,6185,12227,2243,17373,1740,10314
12/29/05,1400,34453,6150,12215,2227,17360,1753,10243
12/29/05,1500,34106,6124,12187,2220,17302,1745,10241
12/29/05,1600,34163,6155,12137,2195,17200,1740,10278
12/29/05,1700,35702,6349,12258,2208,17360,1795,10604
12/29/05,1800,37852,6707,13008,2306,18117,1902,11482
12/29/05,1900,37632,6741,13541,2317,18239,1902,11632
12/29/05,2000,36812,6644,13397,2268,18046,1880,11439
12/29/05,2100,35927,6528,13161,2209,17790,1845,11327
12/29/05,2200,34513,6306,12810,2123,17214,1793,10936
12/29/05,2300,32165,5983,12256,1997,16508,1697,10250
12/29/05,2400,29468,5590,11340,1852,15506,1581,9521
12/28/05,100,29151,5452,10311,1666,14682,1467,10004
12/28/05,200,28142,5285,9658,1584,14268,1399,9766
12/28/05,300,27677,5238,9288,1547,14108,1366,9816
12/28/05,400,27608,5222,9075,1533,14074,1353,9904
12/28/05,500,28281,5298,9023,1547,14191,1368,10230
12/28/05,600,30041,5515,9212,1632,14691,1421,10869
12/28/05,700,32763,5868,9811,1769,15697,1522,11698
12/28/05,800,34557,6150,10763,1913,16535,1615,12188
12/28/05,900,35541,6257,11458,1958,16760,1665,12263
12/28/05,1000,36037,6334,11757,1997,16748,1710,12006
12/28/05,1100,35937,6298,12032,2018,16644,1735,11551
12/28/05,1200,35261,6184,12252,2015,16337,1747,11098
12/28/05,1300,34470,6023,12353,2001,16070,1729,10629
12/28/05,1400,33853,5886,12383,1991,15867,1719,10251
12/28/05,1500,33436,5807,12369,1985,15602,1711,10000
12/28/05,1600,33555,5773,12332,1976,15436,1701,9897
12/28/05,1700,34987,5948,12407,1965,15701,1736,10283
12/28/05,1800,37979,6433,13136,2057,16668,1815,11386
12/28/05,1900,38057,6518,13562,2125,17044,1834,11582
12/28/05,2000,37334,6409,13398,2090,16837,1807,11389
12/28/05,2100,36418,6338,13165,2053,16621,1767,11096
12/28/05,2200,34824,6158,12831,1970,16166,1712,10596
12/28/05,2300,32257,5798,12266,1873,15462,1601,9826
12/28/05,2400,29479,5353,11355,1728,14584,1472,9045
12/27/05,100,28196,5285,10167,1757,14789,1487,9506
12/27/05,200,27031,5119,9654,1710,14444,1428,9260
12/27/05,300,26524,5075,9281,1685,14259,1395,9291
12/27/05,400,26430,5063,9125,1673,14255,1379,9368
12/27/05,500,26990,5188,9112,1707,14466,1408,9793
12/27/05,600,28693,5410,9309,1793,15156,1452,10471
12/27/05,700,31195,5780,9929,1944,16162,1560,11341
12/27/05,800,33330,6145,10884,2089,17181,1654,11977
12/27/05,900,34522,6282,11460,2156,17404,1698,12043
12/27/05,1000,35052,6397,11759,2216,17759,1761,11738
12/27/05,1100,35225,6471,11877,2255,17680,1779,11387
12/27/05,1200,34981,6360,11890,2210,17451,1783,11014
12/27/05,1300,34358,6231,11922,2149,17000,1779,10566
12/27/05,1400,33798,6117,11878,2095,16569,1760,10222
12/27/05,1500,33341,6034,11622,2019,16179,1734,10026
12/27/05,1600,33336,6015,11477,1975,15705,1704,10089
12/27/05,1700,35112,6153,11523,1975,15908,1723,10493
12/27/05,1800,38743,6674,12458,2139,17050,1861,11731
12/27/05,1900,38979,6865,13254,2222,17875,1911,12146
12/27/05,2000,38477,6816,13163,2180,17783,1874,12126
12/27/05,2100,37705,6723,12933,2127,17710,1837,12041
12/27/05,2200,36242,6521,12651,2041,17277,1797,11718
12/27/05,2300,33868,6160,12117,1909,16336,1695,11153
12/27/05,2400,31231,5779,11204,1763,15405,1564,10493
12/26/05,100,25552,4718,9691,1654,12968,1319,8549
12/26/05,200,24408,4577,9166,1600,12708,1264,8284
12/26/05,300,23853,4485,8820,1568,12665,1245,8212
12/26/05,400,23703,4511,8637,1562,12830,1236,8204
12/26/05,500,23982,4596,8586,1578,13157,1258,8409
12/26/05,600,24889,4804,8676,1631,13768,1304,8749
12/26/05,700,26209,5030,8961,1690,14314,1381,9206
12/26/05,800,27380,5283,9390,1802,14809,1450,9569
12/26/05,900,28725,5563,9617,1869,15382,1498,9866
12/26/05,1000,30269,5829,9821,1969,15994,1590,10153
12/26/05,1100,31047,6032,10124,2040,16405,1628,10191
12/26/05,1200,31503,6076,10378,2071,16643,1637,10127
12/26/05,1300,31732,6040,10452,2059,16466,1649,10091
12/26/05,1400,31625,5932,10433,2029,16295,1658,9918
12/26/05,1500,31593,5932,10414,2005,16167,1672,9791
12/26/05,1600,31921,5886,10443,2034,16156,1671,9800
12/26/05,1700,33763,6092,10654,2080,16424,1718,10346
12/26/05,1800,36416,6433,11603,2217,17326,1832,11515
12/26/05,1900,36584,6495,12336,2264,17595,1831,11732
12/26/05,2000,36242,6525,12353,2224,17480,1823,11761
12/26/05,2100,35786,6426,12250,2185,17250,1816,11620
12/26/05,2200,34622,6230,12084,2105,16937,1771,11315
12/26/05,2300,32474,5931,11710,2002,16257,1685,10685
12/26/05,2400,30058,5562,10954,1860,15499,1562,10031
12/25/05,100,28132,4957,9944,1564,13226,1396,9268
12/25/05,200,26877,4764,9403,1502,12694,1318,8966
12/25/05,300,26143,4677,8974,1443,12489,1274,8840
12/25/05,400,25837,4664,8709,1426,12324,1262,8804
12/25/05,500,25994,4748,8567,1431,12367,1255,8838
12/25/05,600,26549,4821,8581,1448,12477,1259,8978
12/25/05,700,27505,4988,8684,1511,13023,1272,9344
12/25/05,800,28692,5267,8967,1620,13730,1317,9795
12/25/05,900,29913,5508,9251,1737,14482,1368,10197
12/25/05,1000,30745,5679,9524,1809,14899,1412,10516
12/25/05,1100,30954,5744,9808,1830,14674,1441,10548
12/25/05,1200,31120,5770,9959,1810,14510,1448,10411
12/25/05,1300,31225,5674,10052,1799,14342,1467,10251
12/25/05,1400,31119,5492,10063,1759,13865,1464,9980
12/25/05,1500,30637,5321,10020,1714,13470,1446,9748
12/25/05,1600,30459,5196,9953,1691,13410,1451,9555
12/25/05,1700,31092,5300,9995,1713,13542,1469,9463
12/25/05,1800,32079,5586,10607,1834,14289,1541,10065
12/25/05,1900,31897,5648,11004,1886,14565,1563,10084
12/25/05,2000,31597,5612,10995,1891,14654,1547,9994
12/25/05,2100,31319,5581,10958,1892,14656,1548,9937
12/25/05,2200,30718,5515,10908,1881,14560,1545,9792
12/25/05,2300,29379,5302,10763,1819,14094,1499,9480
12/25/05,2400,27404,4982,10300,1739,13548,1410,8964
12/24/05,100,28178,5065,10334,1782,14737,1447,9662
12/24/05,200,26890,4899,9601,1683,14305,1369,9323
12/24/05,300,26175,4810,9122,1635,14070,1338,9158
12/24/05,400,25913,4738,8825,1609,13972,1318,9235
12/24/05,500,26041,4804,8705,1618,14005,1309,9376
12/24/05,600,26776,4934,8730,1652,14332,1349,9742
12/24/05,700,28101,5120,8920,1725,14883,1384,10334
12/24/05,800,29537,5393,9303,1825,15577,1441,10931
12/24/05,900,31096,5700,9657,1880,16061,1499,11423
12/24/05,1000,31852,5845,9964,1947,16179,1538,11339
12/24/05,1100,31690,5815,10285,1945,15803,1536,10800
12/24/05,1200,31118,5619,10463,1926,15168,1549,10311
12/24/05,1300,30298,5406,10509,1866,14450,1531,9775
12/24/05,1400,29477,5181,10521,1836,13922,1481,9303
12/24/05,1500,28903,5068,10428,1791,13599,1467,9068
12/24/05,1600,28678,5045,10434,1776,13507,1456,8931
12/24/05,1700,30062,5163,10525,1806,13730,1502,9240
12/24/05,1800,33348,5596,11216,1923,14623,1648,10312
12/24/05,1900,33227,5631,11625,1917,14816,1655,10491
12/24/05,2000,32660,5517,11463,1874,14635,1622,10444
12/24/05,2100,32377,5558,11212,1845,14690,1605,10472
12/24/05,2200,32149,5526,11047,1815,14592,1605,10448
12/24/05,2300,31355,5442,10859,1761,14434,1595,10182
12/24/05,2400,29809,5252,10484,1669,13845,1487,9722
12/23/05,100,30941,5807,11251,2075,16879,1530,11152
12/23/05,200,29655,5612,10507,1998,16480,1489,10842
12/23/05,300,29013,5532,10042,1941,16251,1461,10827
12/23/05,400,28881,5482,9786,1923,16232,1460,10897
12/23/05,500,29446,5617,9706,1955,16402,1431,11231
12/23/05,600,31243,5801,9833,2030,17070,1498,11884
12/23/05,700,34553,6233,10317,2194,17965,1608,12871
12/23/05,800,36516,6512,11136,2328,18713,1700,13393
12/23/05,900,36734,6549,11595,2365,19032,1752,13353
12/23/05,1000,36357,6441,11692,2399,18709,1776,12762
12/23/05,1100,35538,6265,11629,2400,18156,1756,12022
12/23/05,1200,34543,6112,11608,2341,17399,1739,11331
12/23/05,1300,33310,5878,11442,2252,16678,1697,10678
12/23/05,1400,32576,5748,11197,2185,16093,1698,10196
12/23/05,1500,31865,5633,11022,2122,15725,1673,9782
12/23/05,1600,31592,5566,10926,2073,15402,1669,9677
12/23/05,1700,33345,5759,11039,2109,15713,1692,10158
12/23/05,1800,37138,6289,12130,2259,16928,1845,11462
12/23/05,1900,37476,6420,13012,2330,17611,1860,11751
12/23/05,2000,36860,6370,12918,2291,17547,1830,11591
12/23/05,2100,36089,6292,12705,2246,17258,1806,11509
12/23/05,2200,34960,6110,12405,2188,17130,1766,11260
12/23/05,2300,32994,5844,11993,2078,16539,1677,10826
12/23/05,2400,30418,5418,11240,1916,15625,1558,10215
12/22/05,100,32403,6211,12373,2220,18118,1603,12097
12/22/05,200,31267,6025,11710,2138,17763,1554,11921
12/22/05,300,30743,5957,11319,2101,17599,1568,11929
12/22/05,400,30719,5971,11111,2080,17573,1534,12117
12/22/05,500,31458,6094,11065,2107,18008,1555,12528
12/22/05,600,33844,6407,11259,2224,18827,1658,13371
12/22/05,700,37751,6988,11851,2413,20167,1776,14580
12/22/05,800,39871,7267,12863,2573,20997,1881,15117
12/22/05,900,39693,7208,13469,2605,21055,1937,14743
12/22/05,1000,38970,7102,13531,2615,20784,1991,13871
12/22/05,1100,38259,6971,13412,2601,20402,1983,13018
12/22/05,1200,37525,6874,13364,2574,19462,1970,12403
12/22/05,1300,36674,6670,13282,2518,18837,1907,11730
12/22/05,1400,36067,6438,13034,2484,18347,1918,11287
12/22/05,1500,35857,6412,12928,2440,17841,1883,11123
12/22/05,1600,36136,6412,12762,2387,17611,1836,11133
12/22/05,1700,38154,6628,12726,2396,17840,1889,11666
12/22/05,1800,41475,7230,13607,2576,19173,2030,13035
12/22/05,1900,41734,7363,14441,2662,19902,2033,13516
12/22/05,2000,41260,7355,14369,2627,19905,1993,13585
12/22/05,2100,40551,7243,14108,2583,19882,1963,13490
12/22/05,2200,39196,7049,13811,2514,19713,1903,13202
12/22/05,2300,36396,6682,13266,2385,18882,1794,12495
12/22/05,2400,33325,6174,12318,2208,17784,1638,11717
12/21/05,100,33089,6519,12414,2257,18147,1663,11820
12/21/05,200,31931,6319,11754,2179,17825,1600,11576
12/21/05,300,31539,6283,11378,2130,17673,1591,11490
12/21/05,400,31452,6182,11196,2112,17820,1589,11635
12/21/05,500,32403,6303,11187,2149,18058,1600,12043
12/21/05,600,34882,6702,11426,2289,18950,1697,13013
12/21/05,700,39105,7309,12111,2518,20429,1822,14409
12/21/05,800,41388,7626,13294,2702,21319,1953,14983
12/21/05,900,40931,7530,13912,2690,21272,1992,14617
12/21/05,1000,39991,7402,13941,2687,21022,2001,13914
12/21/05,1100,39254,7293,13870,2649,20568,1974,13177
12/21/05,1200,38346,7139,13808,2591,19824,1992,12637
12/21/05,1300,37600,6998,13632,2541,19256,1960,12083
12/21/05,1400,37316,6868,13468,2513,18901,1973,11776
12/21/05,1500,36974,6728,13417,2484,18611,1954,11588
12/21/05,1600,37313,6780,13370,2446,18507,1937,11666
12/21/05,1700,39370,7011,13472,2482,18915,1989,12300
