Date,Hour,PJM-E,PJM-W,NI,DAY,AEP,DUQ,DOM
12/31/07,100,28289,5100,10415,1777,15075,1445,9259
12/31/07,200,27171,4961,9912,1721,14780,1391,8924
12/31/07,300,26558,4884,9590,1698,14715,1374,8869
12/31/07,400,26487,4935,9450,1694,14685,1353,8931
12/31/07,500,27099,5076,9427,1714,15001,1369,9297
12/31/07,600,28697,5264,9596,1789,15547,1428,9981
12/31/07,700,30897,5531,10007,1906,16409,1516,10764
12/31/07,800,32352,5844,10663,2017,17213,1611,11263
12/31/07,900,33162,5956,10917,2053,17437,1661,11470
12/31/07,1000,33652,6021,11175,2089,17474,1697,11431
12/31/07,1100,33789,6018,11420,2098,17484,1716,11134
12/31/07,1200,33553,5983,11578,2083,17044,1728,10774
12/31/07,1300,33012,5804,11627,2020,16524,1714,10372
12/31/07,1400,32425,5645,11569,1957,16074,1686,10077
12/31/07,1500,31767,5473,11561,1911,15545,1651,9768
12/31/07,1600,31599,5390,11581,1853,15291,1610,9722
12/31/07,1700,33090,5525,11753,1872,15475,1646,10118
12/31/07,1800,37083,6116,12534,2025,16657,1797,11486
12/31/07,1900,37334,6281,13147,2110,17329,1820,11878
12/31/07,2000,36220,6176,12895,2033,17166,1778,11698
12/31/07,2100,34983,5966,12495,1960,16826,1734,11420
12/31/07,2200,33705,5816,12075,1879,16471,1697,11085
12/31/07,2300,32343,5634,11678,1824,15993,1642,10709
12/31/07,2400,30998,5399,11198,1767,15411,1548,10379
12/30/07,100,28180,5077,10978,1819,15160,1436,8668
12/30/07,200,26879,4908,10376,1742,14793,1394,8359
12/30/07,300,26328,4845,10033,1722,14619,1382,8205
12/30/07,400,26163,4866,9795,1705,14602,1370,8221
12/30/07,500,26445,4934,9694,1708,14643,1343,8362
12/30/07,600,27048,5065,9621,1740,14871,1382,8584
12/30/07,700,28114,5223,9827,1798,15264,1416,8967
12/30/07,800,29141,5424,10074,1882,15818,1445,9517
12/30/07,900,30342,5688,10145,1945,16206,1473,9994
12/30/07,1000,31480,5837,10285,2006,16501,1505,10444
12/30/07,1100,31884,5870,10362,2031,16629,1558,10715
12/30/07,1200,32073,5865,10439,2051,16699,1591,10769
12/30/07,1300,32142,5864,10457,2039,16699,1588,10931
12/30/07,1400,32160,5852,10445,2001,16544,1587,10948
12/30/07,1500,32299,5822,10529,1956,16175,1581,10959
12/30/07,1600,32712,5827,10514,1953,16118,1602,10998
12/30/07,1700,34604,5974,10729,1979,16434,1647,11432
12/30/07,1800,36685,6323,11644,2130,17267,1758,12013
12/30/07,1900,36810,6315,12466,2210,17643,1771,12035
12/30/07,2000,36325,6257,12460,2183,17481,1753,11827
12/30/07,2100,35651,6165,12381,2148,17204,1744,11539
12/30/07,2200,34341,6019,12141,2079,16987,1713,11073
12/30/07,2300,32483,5745,11756,1989,16343,1643,10493
12/30/07,2400,30240,5351,11154,1886,15667,1537,9747
12/29/07,100,28022,4848,11156,1763,14432,1434,8728
12/29/07,200,26568,4630,10542,1698,13904,1379,8281
12/29/07,300,25694,4567,10210,1661,13762,1347,8013
12/29/07,400,25185,4518,9943,1653,13744,1303,7889
12/29/07,500,25117,4589,9914,1668,13772,1307,7901
12/29/07,600,25621,4680,9926,1697,14089,1351,8117
12/29/07,700,26598,4847,10206,1772,14572,1409,8459
12/29/07,800,27757,5121,10636,1865,15206,1449,8843
12/29/07,900,29269,5311,10985,1937,15730,1487,9311
12/29/07,1000,30664,5549,11258,2024,16196,1548,9751
12/29/07,1100,31346,5648,11565,2087,16513,1588,9881
12/29/07,1200,31349,5617,11761,2097,16425,1617,9937
12/29/07,1300,30809,5542,11818,2099,16243,1608,9851
12/29/07,1400,30168,5417,11728,2070,15900,1609,9638
12/29/07,1500,29610,5303,11510,2048,15739,1591,9425
12/29/07,1600,29513,5266,11455,2028,15661,1595,9391
12/29/07,1700,31016,5415,11533,2058,15973,1642,9684
12/29/07,1800,34333,5930,12239,2158,16950,1750,10645
12/29/07,1900,34794,6066,12948,2220,17356,1778,10785
12/29/07,2000,34487,6013,12939,2192,17408,1772,10741
12/29/07,2100,34111,5966,12805,2152,17289,1734,10551
12/29/07,2200,33244,5871,12589,2105,17009,1706,10223
12/29/07,2300,31886,5651,12301,2021,16471,1646,9754
12/29/07,2400,29994,5344,11679,1919,15826,1552,9174
12/28/07,100,28661,5074,10875,1782,15330,1493,9481
12/28/07,200,27586,4881,10213,1703,14906,1435,9322
12/28/07,300,27056,4859,9809,1679,14866,1395,9347
12/28/07,400,27060,4844,9612,1669,14927,1383,9531
12/28/07,500,27767,4986,9587,1687,15085,1398,9887
12/28/07,600,29592,5218,9770,1774,15661,1480,10695
12/28/07,700,32368,5652,10359,1932,16577,1571,11582
12/28/07,800,34196,5957,11327,2078,17549,1673,12118
12/28/07,900,34882,6116,12046,2144,17928,1699,12136
12/28/07,1000,34867,6137,12377,2203,18192,1754,11874
12/28/07,1100,34611,6081,12680,2245,18413,1770,11614
12/28/07,1200,34210,6065,13018,2242,18380,1763,11292
12/28/07,1300,33811,5974,13095,2223,18130,1757,11019
12/28/07,1400,33503,5944,13002,2199,18086,1754,10805
12/28/07,1500,33302,5910,12943,2159,17973,1726,10646
12/28/07,1600,33400,5931,12796,2146,17861,1714,10799
12/28/07,1700,35315,6127,12703,2161,17784,1775,11080
12/28/07,1800,37871,6456,13387,2238,18258,1876,11884
12/28/07,1900,37599,6432,13978,2217,18136,1866,11874
12/28/07,2000,36740,6316,13854,2171,17766,1834,11555
12/28/07,2100,35839,6187,13588,2114,17446,1794,11243
12/28/07,2200,34501,5948,13234,2073,16913,1741,10709
12/28/07,2300,32404,5615,12776,1973,16235,1636,10102
12/28/07,2400,30064,5197,11939,1863,15340,1529,9360
12/27/07,100,29493,5340,10550,1752,15432,1491,10091
12/27/07,200,28293,5179,9961,1687,14983,1434,9852
12/27/07,300,27627,5071,9599,1663,14669,1426,9687
12/27/07,400,27434,5061,9389,1651,14754,1409,9703
12/27/07,500,27894,5135,9334,1672,14830,1429,9899
12/27/07,600,29472,5353,9557,1760,15371,1476,10497
12/27/07,700,31894,5680,10137,1900,16320,1579,11244
12/27/07,800,33932,5967,11086,2055,17129,1663,11833
12/27/07,900,35016,6111,11795,2106,17414,1721,11889
12/27/07,1000,35807,6180,12172,2163,17578,1773,11661
12/27/07,1100,36111,6157,12465,2211,17683,1808,11300
12/27/07,1200,35960,6111,12651,2221,17570,1809,10842
12/27/07,1300,35379,6076,12588,2210,17509,1793,10505
12/27/07,1400,34956,6040,12475,2202,17250,1785,10188
12/27/07,1500,34571,5958,12427,2175,17137,1773,9915
12/27/07,1600,34521,5911,12373,2155,16851,1772,9830
12/27/07,1700,35690,6046,12421,2179,16972,1839,10256
12/27/07,1800,38628,6452,13172,2290,17816,1926,11458
12/27/07,1900,38711,6477,13861,2322,18250,1926,11771
12/27/07,2000,38059,6447,13725,2280,18040,1898,11681
12/27/07,2100,37271,6346,13525,2231,17883,1870,11541
12/27/07,2200,35711,6089,13209,2149,17585,1808,11204
12/27/07,2300,33340,5761,12683,2025,16813,1697,10591
12/27/07,2400,30586,5374,11786,1876,15948,1595,9960
