Date,Hour,PJM-E,PJM-W,NI,DAY,AEP,DUQ,DOM
12/31/06,100,26870,4638,9705,1555,13055,1304,9071
12/31/06,200,25615,4442,9106,1495,12610,1256,8754
12/31/06,300,24962,4377,8672,1457,12318,1226,8735
12/31/06,400,24753,4355,8459,1438,12249,1201,8740
12/31/06,500,24947,4385,8319,1442,12299,1197,8828
12/31/06,600,25614,4487,8344,1465,12442,1205,9028
12/31/06,700,26660,4673,8430,1526,12785,1225,9366
12/31/06,800,27504,4841,8755,1600,13378,1272,9673
12/31/06,900,28828,5046,8967,1688,13915,1302,10136
12/31/06,1000,29798,5244,9168,1759,14334,1347,10317
12/31/06,1100,30110,5272,9481,1828,14341,1384,10217
12/31/06,1200,30120,5214,9723,1847,14454,1405,10053
12/31/06,1300,29851,5176,9855,1862,14555,1410,9883
12/31/06,1400,29513,5120,9871,1836,14470,1415,9717
12/31/06,1500,29356,5134,9812,1816,14247,1433,9680
12/31/06,1600,29889,5142,9803,1798,14204,1436,9726
12/31/06,1700,32043,5316,9936,1827,14595,1502,10119
12/31/06,1800,35027,5789,10688,1982,15460,1636,11124
12/31/06,1900,34960,5785,11551,1987,15275,1637,11136
12/31/06,2000,33861,5588,11467,1898,14770,1603,10785
12/31/06,2100,32629,5369,11213,1801,14327,1558,10375
12/31/06,2200,31260,5201,10916,1724,13890,1503,9902
12/31/06,2300,29833,5009,10638,1668,13309,1457,9468
12/31/06,2400,28479,4759,10249,1596,12796,1388,9005
12/30/06,100,27620,5048,10007,1689,14312,1388,9554
12/30/06,200,26438,4854,9408,1632,14031,1325,9158
12/30/06,300,25577,4729,8923,1594,13821,1283,9256
12/30/06,400,25256,4731,8685,1595,13918,1262,9374
12/30/06,500,25365,4800,8550,1600,14007,1268,9647
12/30/06,600,25954,4911,8627,1652,14376,1308,10015
12/30/06,700,27074,5109,8799,1736,14952,1364,10494
12/30/06,800,28231,5300,9229,1804,15441,1412,10937
12/30/06,900,29603,5512,9482,1855,15821,1451,11302
12/30/06,1000,30949,5643,9879,1899,15978,1477,11201
12/30/06,1100,31483,5554,10253,1899,15774,1504,10925
12/30/06,1200,31220,5419,10486,1872,15338,1492,10456
12/30/06,1300,30328,5192,10436,1816,14808,1463,9820
12/30/06,1400,29387,5026,10334,1757,14354,1430,9338
12/30/06,1500,28621,4889,10118,1732,13992,1416,9057
12/30/06,1600,28493,4841,10057,1720,13850,1424,9029
12/30/06,1700,29960,4987,10176,1757,14128,1479,9266
12/30/06,1800,33609,5581,11089,1897,15227,1618,10518
12/30/06,1900,34116,5717,11725,1980,15725,1645,10886
12/30/06,2000,33762,5691,11727,1950,15602,1633,10867
12/30/06,2100,33413,5668,11576,1921,15522,1622,10759
12/30/06,2200,32506,5515,11438,1864,15177,1597,10486
12/30/06,2300,30913,5198,11052,1779,14584,1515,10040
12/30/06,2400,28763,4898,10477,1668,13809,1402,9505
12/29/06,100,27550,5065,10283,1747,14626,1486,9460
12/29/06,200,26410,4968,9595,1702,14322,1424,9250
12/29/06,300,25995,4959,9174,1661,14223,1386,9206
12/29/06,400,26038,4946,8944,1658,14177,1376,9392
12/29/06,500,26715,5034,8856,1682,14505,1403,9678
12/29/06,600,28477,5335,9033,1770,15157,1454,10426
12/29/06,700,31186,5738,9588,1905,16178,1567,11426
12/29/06,800,33107,5995,10458,2040,16985,1632,12017
12/29/06,900,33825,6098,11100,2071,17200,1675,11991
12/29/06,1000,34045,6095,11376,2097,17092,1703,11553
12/29/06,1100,33950,5970,11583,2110,16708,1712,11060
12/29/06,1200,33446,5809,11729,2066,16104,1714,10541
12/29/06,1300,32691,5622,11679,1988,15546,1683,10087
12/29/06,1400,31985,5487,11541,1937,15039,1676,9748
12/29/06,1500,31337,5310,11407,1893,14656,1649,9505
12/29/06,1600,31197,5247,11193,1842,14305,1626,9457
12/29/06,1700,32705,5393,11138,1850,14486,1640,9841
12/29/06,1800,36466,6001,11975,1997,15628,1784,11088
12/29/06,1900,36728,6162,12776,2083,16361,1828,11459
12/29/06,2000,36168,6191,12645,2059,16392,1804,11322
12/29/06,2100,35405,6160,12397,2026,16352,1731,11190
12/29/06,2200,34117,6001,12102,1980,16246,1683,10960
12/29/06,2300,32157,5700,11686,1892,15738,1605,10575
12/29/06,2400,29696,5312,10954,1778,14948,1506,10025
12/28/06,100,29162,5289,10616,1765,15257,1496,10097
12/28/06,200,28070,5058,9926,1698,14850,1432,10006
12/28/06,300,27621,5042,9495,1670,14715,1405,9995
12/28/06,400,27509,5016,9275,1663,14769,1396,10194
12/28/06,500,28132,5083,9214,1691,15031,1392,10546
12/28/06,600,29868,5277,9405,1779,15732,1465,11315
12/28/06,700,32456,5665,9991,1932,16721,1578,12205
12/28/06,800,34171,5938,10951,2075,17615,1669,12639
12/28/06,900,34855,6061,11602,2123,17844,1702,12548
12/28/06,1000,35070,6052,11798,2168,17716,1725,12015
12/28/06,1100,34843,5954,11853,2208,17506,1744,11413
12/28/06,1200,34264,5865,11854,2195,17112,1756,10875
12/28/06,1300,33631,5772,11786,2158,16561,1774,10412
12/28/06,1400,33209,5701,11645,2096,16099,1750,10138
12/28/06,1500,32764,5663,11569,2012,15670,1729,10004
12/28/06,1600,32916,5674,11447,1968,15288,1716,9987
12/28/06,1700,34752,5854,11492,1963,15439,1751,10325
12/28/06,1800,37907,6321,12404,2127,16601,1876,11484
12/28/06,1900,37972,6473,13269,2243,17351,1909,11807
12/28/06,2000,37304,6409,13195,2230,17393,1872,11665
12/28/06,2100,36462,6295,12984,2190,17365,1814,11488
12/28/06,2200,34908,6114,12686,2124,17094,1789,11083
12/28/06,2300,32407,5757,12160,1990,16331,1673,10379
12/28/06,2400,29636,5367,11245,1853,15419,1570,9797
12/27/06,100,26595,4885,10674,1802,14652,1474,8801
12/27/06,200,25357,4717,10006,1740,14236,1413,8486
12/27/06,300,24862,4673,9634,1716,14109,1370,8418
12/27/06,400,24771,4729,9425,1712,14072,1370,8480
12/27/06,500,25450,4797,9376,1747,14391,1389,8744
12/27/06,600,27305,5065,9586,1845,15048,1437,9380
12/27/06,700,30042,5427,10197,2005,16086,1563,10265
12/27/06,800,32189,5803,11211,2164,17091,1676,10843
12/27/06,900,33380,5971,11820,2198,17392,1703,11070
12/27/06,1000,34200,6068,12064,2231,17498,1747,11031
12/27/06,1100,34612,6187,12287,2239,17359,1802,10971
12/27/06,1200,34549,6147,12445,2228,17249,1790,10697
12/27/06,1300,34259,5975,12496,2168,16885,1768,10364
12/27/06,1400,33938,5859,12435,2089,16440,1769,10107
12/27/06,1500,33456,5733,12391,2040,16108,1740,9963
12/27/06,1600,33382,5678,12281,1995,15933,1715,9936
12/27/06,1700,34829,5887,12256,2041,16182,1742,10303
12/27/06,1800,38541,6428,13144,2231,17535,1894,11664
12/27/06,1900,38917,6641,13807,2328,18237,1938,12110
12/27/06,2000,38441,6639,13698,2295,18253,1909,12106
12/27/06,2100,37723,6567,13452,2240,18178,1865,12027
12/27/06,2200,36297,6372,13151,2169,17814,1820,11748
12/27/06,2300,33887,6025,12594,2038,16946,1715,11106
12/27/06,2400,31168,5603,11619,1887,16008,1587,10512
12/26/06,100,24717,4360,9787,1598,12535,1292,7874
12/26/06,200,23442,4200,9253,1545,12206,1235,7578
12/26/06,300,22829,4154,8953,1535,11991,1214,7450
12/26/06,400,22666,4169,8809,1538,11965,1188,7437
12/26/06,500,23077,4194,8788,1583,12109,1214,7636
12/26/06,600,24500,4423,8993,1677,12782,1274,8069
12/26/06,700,26633,4723,9563,1763,13596,1359,8683
12/26/06,800,28680,5034,10403,1935,14507,1469,9132
12/26/06,900,30140,5217,10941,1992,15090,1530,9512
12/26/06,1000,31490,5456,11254,2066,15685,1612,9863
12/26/06,1100,32252,5560,11497,2124,16166,1663,10044
12/26/06,1200,32316,5627,11669,2141,16371,1681,9974
12/26/06,1300,31974,5572,11658,2140,16354,1693,9882
12/26/06,1400,31497,5573,11582,2125,16304,1703,9759
12/26/06,1500,31167,5517,11506,2120,16253,1698,9672
12/26/06,1600,31464,5583,11373,2078,16297,1689,9644
12/26/06,1700,33301,5778,11387,2130,16685,1733,10047
12/26/06,1800,36226,6228,12338,2277,17519,1864,11103
12/26/06,1900,36340,6309,13353,2321,17769,1868,11344
12/26/06,2000,35830,6244,13348,2306,17600,1847,11268
