Date,Hour,PJM_Load
12/31/99,100,24492
12/31/99,200,22946
12/31/99,300,22533
12/31/99,400,22329
12/31/99,500,22465
12/31/99,600,23409
12/31/99,700,24714
12/31/99,800,26002
12/31/99,900,27450
12/31/99,1000,28855
12/31/99,1100,29424
12/31/99,1200,29096
12/31/99,1300,28518
12/31/99,1400,27609
12/31/99,1500,26916
12/31/99,1600,26736
12/31/99,1700,28127
12/31/99,1800,31893
12/31/99,1900,32702
12/31/99,2000,31642
12/31/99,2100,30635
12/31/99,2200,29291
12/31/99,2300,28382
12/31/99,2400,27487
12/30/99,100,27244
12/30/99,200,26021
12/30/99,300,25472
12/30/99,400,25207
12/30/99,500,25569
12/30/99,600,27115
12/30/99,700,29346
12/30/99,800,31332
12/30/99,900,32238
12/30/99,1000,32304
12/30/99,1100,32213
12/30/99,1200,31532
12/30/99,1300,30771
12/30/99,1400,30364
12/30/99,1500,29804
12/30/99,1600,29454
12/30/99,1700,30455
12/30/99,1800,33863
12/30/99,1900,34112
12/30/99,2000,33276
12/30/99,2100,32588
12/30/99,2200,31251
12/30/99,2300,29231
12/30/99,2400,26633
12/29/99,100,27984
12/29/99,200,26948
12/29/99,300,26398
12/29/99,400,26425
12/29/99,500,26898
12/29/99,600,28719
12/29/99,700,31233
12/29/99,800,33363
12/29/99,900,34270
12/29/99,1000,34545
12/29/99,1100,34512
12/29/99,1200,34192
12/29/99,1300,33635
12/29/99,1400,32862
12/29/99,1500,32292
12/29/99,1600,32007
12/29/99,1700,33089
12/29/99,1800,36850
12/29/99,1900,37369
12/29/99,2000,36634
12/29/99,2100,35857
12/29/99,2200,34573
12/29/99,2300,32015
12/29/99,2400,29492
12/28/99,100,27612
12/28/99,200,26449
12/28/99,300,26103
12/28/99,400,26180
12/28/99,500,26864
12/28/99,600,28579
12/28/99,700,31872
12/28/99,800,33824
12/28/99,900,34794
12/28/99,1000,35143
12/28/99,1100,35144
12/28/99,1200,35021
12/28/99,1300,34332
12/28/99,1400,34011
12/28/99,1500,34015
12/28/99,1600,34192
12/28/99,1700,35455
12/28/99,1800,38008
12/28/99,1900,37849
12/28/99,2000,37219
12/28/99,2100,36555
12/28/99,2200,35265
12/28/99,2300,32895
12/28/99,2400,30133
12/27/99,100,26201
12/27/99,200,25284
12/27/99,300,25007
12/27/99,400,24843
12/27/99,500,25389
12/27/99,600,27014
12/27/99,700,29685
12/27/99,800,31521
12/27/99,900,32959
12/27/99,1000,33871
12/27/99,1100,34051
12/27/99,1200,34018
12/27/99,1300,33656
12/27/99,1400,33335
12/27/99,1500,32878
12/27/99,1600,32721
12/27/99,1700,34398
12/27/99,1800,37421
12/27/99,1900,37500
12/27/99,2000,36791
12/27/99,2100,36038
12/27/99,2200,34614
12/27/99,2300,32272
12/27/99,2400,29579
12/26/99,100,27118
12/26/99,200,26123
12/26/99,300,25622
12/26/99,400,25454
12/26/99,500,25523
12/26/99,600,25999
12/26/99,700,26878
12/26/99,800,27828
12/26/99,900,28950
12/26/99,1000,30077
12/26/99,1100,30335
12/26/99,1200,30140
12/26/99,1300,29876
12/26/99,1400,29287
12/26/99,1500,28804
12/26/99,1600,28602
12/26/99,1700,29720
12/26/99,1800,32946
12/26/99,1900,33322
12/26/99,2000,33186
12/26/99,2100,32764
12/26/99,2200,31824
12/26/99,2300,30177
12/26/99,2400,28112
12/25/99,100,29415
12/25/99,200,27849
12/25/99,300,27283
12/25/99,400,27023
12/25/99,500,27122
12/25/99,600,27686
12/25/99,700,28624
12/25/99,800,29666
12/25/99,900,30842
12/25/99,1000,30952
12/25/99,1100,30713
12/25/99,1200,30196
12/25/99,1300,29313
12/25/99,1400,28549
12/25/99,1500,27575
12/25/99,1600,26840
12/25/99,1700,28110
12/25/99,1800,30852
12/25/99,1900,31337
12/25/99,2000,31499
12/25/99,2100,31589
12/25/99,2200,31446
12/25/99,2300,30358
12/25/99,2400,28772
12/24/99,100,27561
12/24/99,200,26351
12/24/99,300,25879
12/24/99,400,25669
12/24/99,500,26033
