Date,Hour,PJM-E,PJM-W,NI,DAY,AEP,DUQ,DOM
12/31/09,100,31429,5574,11087,1743,15521,1471,11330
12/31/09,200,30228,5365,10420,1685,15233,1419,10938
12/31/09,300,29497,5286,9987,1659,15230,1382,10831
12/31/09,400,29238,5300,9727,1649,15142,1375,10871
12/31/09,500,29702,5381,9634,1665,15146,1385,11253
12/31/09,600,31244,5581,9740,1727,15426,1437,11762
12/31/09,700,33476,5864,10134,1830,15954,1524,12422
12/31/09,800,35275,6083,10758,1939,16673,1588,12906
12/31/09,900,36227,6191,11076,1978,16935,1622,13165
12/31/09,1000,37086,6329,11315,2038,17180,1684,13291
12/31/09,1100,37436,6368,11585,2081,17215,1720,13298
12/31/09,1200,37312,6292,11802,2076,17143,1719,13051
12/31/09,1300,36865,6227,11859,2063,16987,1708,12702
12/31/09,1400,36342,6104,11794,2046,16847,1692,12389
12/31/09,1500,35767,6041,11773,2026,16655,1691,12226
12/31/09,1600,35744,6029,11755,1996,16530,1692,12179
12/31/09,1700,37223,6206,11841,2016,16691,1727,12628
12/31/09,1800,39934,6593,12632,2133,17382,1826,13479
12/31/09,1900,39300,6499,13533,2137,17333,1808,13228
12/31/09,2000,37770,6279,13373,2052,16875,1770,12748
12/31/09,2100,36299,6082,13067,1987,16384,1688,12268
12/31/09,2200,34726,5815,12735,1920,16081,1655,11754
12/31/09,2300,33067,5605,12363,1846,15592,1591,11204
12/31/09,2400,31647,5381,11906,1794,15116,1526,10770
12/30/09,100,34262,6272,11634,1975,17512,1581,12670
12/30/09,200,33042,6131,11028,1915,17130,1549,12550
12/30/09,300,32612,6102,10665,1883,16902,1519,12492
12/30/09,400,32544,6108,10434,1875,16917,1513,12689
12/30/09,500,33160,6182,10373,1893,17036,1532,13000
12/30/09,600,34883,6426,10530,1974,17545,1598,13672
12/30/09,700,37392,6737,11027,2099,18445,1696,14411
12/30/09,800,39035,7005,11843,2235,19111,1781,14867
12/30/09,900,39608,7080,12379,2255,19306,1827,14921
12/30/09,1000,39755,7093,12540,2290,19328,1864,14661
12/30/09,1100,39461,7012,12726,2311,19140,1869,14262
12/30/09,1200,38716,6875,12829,2296,18700,1847,13782
12/30/09,1300,37983,6673,12925,2254,18108,1833,13507
12/30/09,1400,37414,6511,12782,2220,17699,1842,13109
12/30/09,1500,37035,6410,12713,2164,17306,1819,12912
12/30/09,1600,37084,6381,12622,2082,17146,1806,12849
12/30/09,1700,38663,6548,12629,2156,17378,1827,13292
12/30/09,1800,41741,6964,13376,2268,18339,1940,14464
12/30/09,1900,41745,7032,14039,2298,18674,1947,14566
12/30/09,2000,40916,6951,13813,2248,18481,1917,14367
12/30/09,2100,40019,6831,13564,2195,18258,1864,14089
12/30/09,2200,38473,6633,13256,2106,17819,1797,13573
12/30/09,2300,36216,6272,12747,1978,17020,1711,12765
12/30/09,2400,33493,5877,11940,1832,16146,1576,11973
12/29/09,100,31219,5762,11706,1926,16957,1504,11448
12/29/09,200,30032,5606,11062,1864,16523,1447,11208
12/29/09,300,29564,5541,10711,1836,16321,1423,11183
12/29/09,400,29753,5623,10529,1825,16306,1439,11309
12/29/09,500,30672,5777,10559,1853,16488,1465,11730
12/29/09,600,32815,6083,10802,1944,17158,1531,12473
12/29/09,700,35773,6459,11348,2079,17962,1628,13395
12/29/09,800,37717,6737,12251,2203,18812,1727,13962
12/29/09,900,38564,6854,12666,2238,18997,1757,13937
12/29/09,1000,39110,6877,12820,2264,18980,1798,13710
12/29/09,1100,39436,6896,12863,2264,18986,1811,13462
12/29/09,1200,39320,6871,12896,2231,18620,1819,13195
12/29/09,1300,38966,6755,12786,2206,18176,1827,12866
12/29/09,1400,38525,6640,12695,2154,17720,1812,12565
12/29/09,1500,38095,6516,12608,2106,17270,1800,12269
12/29/09,1600,38248,6515,12479,2068,17126,1787,12335
12/29/09,1700,40038,6738,12527,2096,17508,1821,13013
12/29/09,1800,43706,7316,13369,2272,18849,1966,14412
12/29/09,1900,43969,7468,14294,2390,19527,1993,14694
12/29/09,2000,43358,7419,14208,2377,19584,1955,14732
12/29/09,2100,42573,7349,14044,2349,19502,1939,14658
12/29/09,2200,40869,7150,13774,2303,19616,1869,14248
12/29/09,2300,38580,6851,13288,2194,18957,1778,13642
12/29/09,2400,36025,6528,12501,2069,18111,1657,13046
12/28/09,100,27950,5019,11232,1876,15199,1432,10084
12/28/09,200,26930,4915,10754,1848,15164,1372,9786
12/28/09,300,26475,4932,10424,1835,15088,1353,9692
12/28/09,400,26396,4970,10231,1836,15233,1344,9756
12/28/09,500,27048,5098,10189,1864,15544,1384,10024
12/28/09,600,28731,5375,10367,1965,16336,1465,10758
12/28/09,700,31344,5768,10923,2118,17353,1575,11675
12/28/09,800,33315,6132,11814,2269,18414,1684,12290
12/28/09,900,34483,6279,12314,2316,18879,1733,12420
12/28/09,1000,35287,6467,12629,2378,19212,1770,12413
12/28/09,1100,35739,6559,12859,2457,19344,1820,12275
12/28/09,1200,35885,6577,13086,2436,19177,1846,12098
12/28/09,1300,35735,6551,13045,2455,19084,1864,11754
12/28/09,1400,35501,6500,12902,2448,19047,1853,11604
12/28/09,1500,35347,6431,12885,2418,18969,1850,11508
12/28/09,1600,35411,6470,12778,2370,18798,1829,11571
12/28/09,1700,37117,6710,12656,2370,19102,1854,12219
12/28/09,1800,40653,7189,13321,2476,19875,1978,13608
12/28/09,1900,40783,7300,14252,2513,20208,2009,13839
12/28/09,2000,40281,7256,14135,2460,19964,1962,13762
12/28/09,2100,39539,7110,13959,2399,19683,1923,13697
12/28/09,2200,38051,6845,13727,2309,19341,1849,13262
12/28/09,2300,35588,6471,13302,2183,18467,1725,12587
12/28/09,2400,33129,6082,12548,2043,17575,1598,11833
12/27/09,100,26169,4927,10987,1698,14860,1439,9259
12/27/09,200,24995,4775,10411,1640,14552,1386,9062
12/27/09,300,24363,4731,10060,1594,14406,1363,9040
12/27/09,400,24145,4745,9858,1589,14437,1348,9169
12/27/09,500,24341,4804,9750,1588,14488,1341,9442
12/27/09,600,25074,4926,9758,1619,14789,1364,9834
12/27/09,700,26280,5117,9918,1681,15164,1399,10404
12/27/09,800,27376,5348,10198,1753,15703,1420,10992
12/27/09,900,28500,5555,10310,1805,16100,1462,11462
12/27/09,1000,29203,5579,10498,1860,16117,1528,11261
12/27/09,1100,29441,5504,10797,1896,15716,1554,10728
12/27/09,1200,29417,5357,10957,1888,15419,1542,10301
12/27/09,1300,29242,5259,10997,1890,15278,1515,9939
12/27/09,1400,28723,5108,10978,1891,14970,1509,9677
12/27/09,1500,28272,4980,10927,1890,14868,1499,9464
12/27/09,1600,28318,4951,10939,1899,14971,1497,9467
12/27/09,1700,30032,5205,11127,1964,15417,1556,9939
12/27/09,1800,33659,5799,12008,2165,16628,1688,11211
12/27/09,1900,34348,5961,13026,2190,17085,1719,11650
12/27/09,2000,34286,5958,13096,2197,17063,1696,11783
12/27/09,2100,34159,5920,13024,2182,17039,1679,11809
12/27/09,2200,33272,5765,12846,2126,16862,1636,11585
12/27/09,2300,31607,5531,12495,2051,16289,1576,11156
12/27/09,2400,29646,5246,11885,1952,15775,1476,10578
12/26/09,100,27308,4609,10520,1629,13160,1350,8767
12/26/09,200,26208,4458,10062,1581,12871,1315,8420
12/26/09,300,25510,4359,9765,1555,12767,1272,8230
12/26/09,400,25191,4348,9567,1542,12865,1242,8169
12/26/09,500,25295,4378,9515,1567,13047,1253,8231
12/26/09,600,25864,4500,9597,1608,13460,1287,8468
12/26/09,700,26910,4687,9878,1691,14114,1350,8897
12/26/09,800,28082,4914,10298,1778,14808,1425,9295
12/26/09,900,29426,5133,10570,1824,15214,1463,9767
12/26/09,1000,31022,5384,10832,1877,15512,1524,10152
12/26/09,1100,32061,5525,11143,1914,15525,1554,10329
12/26/09,1200,32310,5529,11346,1922,15367,1549,10221
12/26/09,1300,32091,5433,11442,1896,15113,1529,10006
12/26/09,1400,31496,5282,11409,1856,14830,1506,9750
12/26/09,1500,31165,5184,11304,1821,14639,1488,9637
12/26/09,1600,31222,5167,11295,1789,14573,1480,9722
12/26/09,1700,32479,5318,11432,1819,14864,1503,10113
12/26/09,1800,34347,5752,12202,1976,16195,1654,10951
12/26/09,1900,34343,5878,12901,2057,16831,1684,11057
12/26/09,2000,33809,5860,12908,2032,16786,1703,10993
12/26/09,2100,33081,5840,12781,2014,16711,1697,10857
12/26/09,2200,31929,5706,12612,1962,16406,1665,10619
12/26/09,2300,30167,5491,12283,1885,16012,1608,10222
12/26/09,2400,28051,5185,11693,1785,15404,1517,9676
12/25/09,100,31014,5391,10504,1664,13985,1449,11402
12/25/09,200,29651,5239,9966,1577,13560,1379,11046
12/25/09,300,28721,5122,9553,1554,13341,1335,10825
12/25/09,400,28239,5060,9282,1532,13307,1316,10734
12/25/09,500,28215,5077,9089,1540,13403,1306,10777
12/25/09,600,28805,5141,9086,1583,13703,1326,10992
12/25/09,700,29748,5304,9231,1636,14077,1365,11352
12/25/09,800,30652,5512,9456,1717,14585,1415,11734
12/25/09,900,31826,5747,9609,1762,14961,1472,12068
12/25/09,1000,32889,5949,9756,1833,15330,1531,12216
12/25/09,1100,33375,6023,9857,1875,15484,1557,12121
12/25/09,1200,33374,5988,9996,1881,15401,1562,11950
12/25/09,1300,33032,5857,10154,1827,14938,1562,11739
12/25/09,1400,32545,5666,10218,1758,14387,1539,11447
12/25/09,1500,32162,5540,10220,1700,13943,1534,11273
12/25/09,1600,32003,5436,10230,1653,13661,1501,11157
12/25/09,1700,32949,5442,10402,1677,13683,1493,11304
12/25/09,1800,34158,5659,11148,1775,14335,1568,11563
12/25/09,1900,33784,5670,11654,1806,14587,1569,11248
12/25/09,2000,33383,5628,11668,1823,14641,1563,10988
12/25/09,2100,33092,5563,11672,1825,14645,1550,10750
12/25/09,2200,32441,5448,11642,1820,14640,1528,10394
12/25/09,2300,31024,5216,11487,1776,14221,1494,9902
12/25/09,2400,29070,4897,11097,1705,13656,1416,9273
12/24/09,100,32460,5819,11417,1871,15561,1563,11921
12/24/09,200,31252,5690,10645,1792,15078,1515,11671
12/24/09,300,30668,5661,10167,1752,14850,1485,11596
12/24/09,400,30599,5686,9828,1725,14754,1467,11643
12/24/09,500,31190,5799,9736,1733,14931,1480,11963
12/24/09,600,32636,6003,9820,1792,15352,1520,12598
12/24/09,700,34857,6311,10162,1890,15974,1614,13399
12/24/09,800,36463,6581,10718,1995,16609,1697,13981
12/24/09,900,37173,6707,11084,2039,16858,1740,14076
12/24/09,1000,36982,6614,11353,2100,16840,1757,13626
12/24/09,1100,36269,6416,11635,2126,16704,1749,13028
12/24/09,1200,35368,6162,11829,2075,16175,1721,12403
12/24/09,1300,34169,5887,11854,1995,15489,1689,11807
12/24/09,1400,33297,5691,11699,1967,14995,1653,11413
12/24/09,1500,32722,5538,11671,1920,14742,1613,11148
12/24/09,1600,32637,5481,11564,1906,14686,1573,11233
12/24/09,1700,34322,5683,11596,1917,14903,1601,11880
12/24/09,1800,37709,6166,12356,2032,15858,1731,13148
12/24/09,1900,37280,6158,12664,2036,15876,1713,13161
12/24/09,2000,36438,6051,12268,1977,15644,1665,12997
12/24/09,2100,35995,6053,11948,1951,15601,1651,12902
12/24/09,2200,35462,6042,11708,1926,15603,1631,12731
12/24/09,2300,34393,5897,11466,1863,15225,1585,12385
12/24/09,2400,32787,5648,11072,1762,14609,1524,11873
12/23/09,100,32187,5649,11430,1917,16083,1530,11501
12/23/09,200,31194,5485,10689,1836,15596,1468,11217
12/23/09,300,30862,5451,10202,1797,15341,1445,11156
12/23/09,400,31006,5476,10004,1785,15454,1431,11354
12/23/09,500,31910,5643,9945,1817,15653,1463,11832
12/23/09,600,34126,5944,10166,1937,16418,1554,12609
12/23/09,700,37743,6432,10770,2108,17419,1689,13688
12/23/09,800,39857,6759,11773,2269,18392,1807,14298
12/23/09,900,39960,6759,12441,2305,18684,1836,14228
12/23/09,1000,39307,6668,12767,2354,18614,1851,13509
12/23/09,1100,38630,6504,12989,2373,18351,1863,12753
12/23/09,1200,37848,6307,13192,2352,17996,1830,12210
12/23/09,1300,37007,6166,13222,2322,17502,1784,11742
12/23/09,1400,36462,6060,13126,2295,17166,1772,11387
12/23/09,1500,35998,5959,13115,2230,16779,1745,11111
12/23/09,1600,35955,5943,13001,2199,16544,1733,11094
12/23/09,1700,37741,6151,13068,2217,16794,1778,11667
12/23/09,1800,41503,6767,13792,2356,17863,1922,13089
12/23/09,1900,41791,6943,14386,2421,18451,1954,13414
12/23/09,2000,41490,6978,14207,2393,18394,1951,13547
12/23/09,2100,40833,6974,13955,2358,18304,1925,13552
12/23/09,2200,39542,6804,13686,2290,18046,1872,13367
12/23/09,2300,37396,6533,13219,2170,17424,1782,12929
12/23/09,2400,34670,6115,12363,2007,16350,1660,12311
12/22/09,100,31528,5597,11421,1927,15852,1487,11637
12/22/09,200,30394,5454,10726,1847,15474,1430,11461
