Date,Hour,PJM-E,PJM-W
12/31/03,100,27525,5623
12/31/03,200,26390,5467
12/31/03,300,25892,5417
12/31/03,400,25935,5518
12/31/03,500,26615,5629
12/31/03,600,28309,5819
12/31/03,700,31015,6190
12/31/03,800,32824,6515
12/31/03,900,33631,6562
12/31/03,1000,33652,6556
12/31/03,1100,33490,6398
12/31/03,1200,32886,6284
12/31/03,1300,32005,6066
12/31/03,1400,31184,6078
12/31/03,1500,30333,6725
12/31/03,1600,29801,6627
12/31/03,1700,30966,6995
12/31/03,1800,34883,7760
12/31/03,1900,35164,7476
12/31/03,2000,34055,6547
12/31/03,2100,32681,5976
12/31/03,2200,31297,5751
12/31/03,2300,29795,5572
12/31/03,2400,28423,5369
12/30/03,100,26506,5123
12/30/03,200,25295,4997
12/30/03,300,24562,4930
12/30/03,400,24344,4855
12/30/03,500,24659,4972
12/30/03,600,26076,5232
12/30/03,700,28615,5565
12/30/03,800,30876,5934
12/30/03,900,31956,6160
12/30/03,1000,32638,6292
12/30/03,1100,32958,6388
12/30/03,1200,33012,6412
12/30/03,1300,32765,6336
12/30/03,1400,32504,6248
12/30/03,1500,32275,6126
12/30/03,1600,32232,6091
12/30/03,1700,33546,6186
12/30/03,1800,36945,6717
12/30/03,1900,37232,6882
12/30/03,2000,36594,6840
12/30/03,2100,35887,6805
12/30/03,2200,34476,6605
12/30/03,2300,32228,6258
12/30/03,2400,29565,5830
12/29/03,100,27221,5269
12/29/03,200,26361,5169
12/29/03,300,26027,5155
12/29/03,400,26167,5229
12/29/03,500,26864,5316
12/29/03,600,28677,5592
12/29/03,700,31416,6002
12/29/03,800,33464,6365
12/29/03,900,34329,6496
12/29/03,1000,34328,6494
12/29/03,1100,33888,6443
12/29/03,1200,33362,6291
12/29/03,1300,32587,6058
12/29/03,1400,31932,5910
12/29/03,1500,31311,5739
12/29/03,1600,30942,5630
12/29/03,1700,32107,5805
12/29/03,1800,35856,6414
12/29/03,1900,36267,6531
12/29/03,2000,35804,6529
12/29/03,2100,34987,6488
12/29/03,2200,33691,6173
12/29/03,2300,31314,5865
12/29/03,2400,28577,5485
12/28/03,100,27300,5266
12/28/03,200,26267,5160
12/28/03,300,25856,5105
12/28/03,400,25781,5104
12/28/03,500,26025,5170
12/28/03,600,26618,5278
12/28/03,700,27670,5489
12/28/03,800,28590,5704
12/28/03,900,29377,5915
12/28/03,1000,29727,5905
12/28/03,1100,29597,5784
12/28/03,1200,29154,5655
12/28/03,1300,28645,5524
12/28/03,1400,27866,5315
12/28/03,1500,27273,5186
12/28/03,1600,27180,5142
12/28/03,1700,28757,5363
12/28/03,1800,32794,5952
12/28/03,1900,33727,6162
12/28/03,2000,33757,6180
12/28/03,2100,33413,6107
12/28/03,2200,32613,6005
12/28/03,2300,31003,5840
12/28/03,2400,28960,5558
12/27/03,100,27824,5485
12/27/03,200,26561,5319
12/27/03,300,25873,5223
12/27/03,400,25709,5207
12/27/03,500,25780,5229
12/27/03,600,26382,5362
12/27/03,700,27471,5536
12/27/03,800,28484,5689
12/27/03,900,29688,5880
12/27/03,1000,30635,6026
12/27/03,1100,30846,6029
12/27/03,1200,30534,5845
12/27/03,1300,29676,5685
12/27/03,1400,28753,5492
12/27/03,1500,28029,5291
12/27/03,1600,27794,5298
12/27/03,1700,29105,5459
12/27/03,1800,32820,6014
12/27/03,1900,33493,6191
12/27/03,2000,33370,6215
12/27/03,2100,33061,6164
12/27/03,2200,32330,6086
12/27/03,2300,30978,5866
12/27/03,2400,29056,5566
12/26/03,100,27053,5237
12/26/03,200,26056,5101
12/26/03,300,25540,5033
12/26/03,400,25514,5010
12/26/03,500,25967,5069
12/26/03,600,27176,5238
12/26/03,700,29007,5520
12/26/03,800,30492,5829
12/26/03,900,31784,6074
12/26/03,1000,32992,6308
12/26/03,1100,33561,6439
12/26/03,1200,33695,6397
12/26/03,1300,33126,6258
12/26/03,1400,32325,6070
12/26/03,1500,31501,5890
12/26/03,1600,31157,5815
12/26/03,1700,32619,5992
12/26/03,1800,36144,6546
12/26/03,1900,36464,6691
12/26/03,2000,35936,6686
12/26/03,2100,35209,6621
12/26/03,2200,34047,6462
12/26/03,2300,32218,6148
12/26/03,2400,29859,5820
12/25/03,100,26309,5157
12/25/03,200,25048,4963
12/25/03,300,24299,4879
12/25/03,400,24059,4840
12/25/03,500,24234,4877
12/25/03,600,25023,4982
12/25/03,700,26177,5183
12/25/03,800,27372,5443
12/25/03,900,28487,5657
12/25/03,1000,29150,5821
12/25/03,1100,29345,5837
12/25/03,1200,29286,5799
12/25/03,1300,28979,5703
12/25/03,1400,28487,5543
12/25/03,1500,28016,5441
12/25/03,1600,27811,5427
12/25/03,1700,29005,5572
12/25/03,1800,31494,5963
12/25/03,1900,31833,6072
12/25/03,2000,31912,6102
12/25/03,2100,32034,6095
12/25/03,2200,31647,6023
12/25/03,2300,30561,5812
12/25/03,2400,28675,5489
12/24/03,100,25616,4766
12/24/03,200,24029,4547
12/24/03,300,23170,4466
12/24/03,400,22781,4423
12/24/03,500,22992,4469
12/24/03,600,24283,4684
12/24/03,700,26559,4997
12/24/03,800,29058,5364
12/24/03,900,30747,5683
12/24/03,1000,31966,5890
12/24/03,1100,32632,5972
12/24/03,1200,32678,5971
12/24/03,1300,32158,5858
12/24/03,1400,31675,5782
12/24/03,1500,31269,5737
12/24/03,1600,30932,5743
12/24/03,1700,31938,5900
12/24/03,1800,33921,6151
12/24/03,1900,33164,6041
12/24/03,2000,31978,5915
12/24/03,2100,31324,5856
12/24/03,2200,30780,5845
12/24/03,2300,29797,5689
12/24/03,2400,28112,5459
12/23/03,100,27102,5343
12/23/03,200,25698,5116
12/23/03,300,24988,4980
12/23/03,400,24861,5032
12/23/03,500,25399,5097
12/23/03,600,27386,5358
12/23/03,700,31193,5913
12/23/03,800,33726,6252
12/23/03,900,34056,6248
12/23/03,1000,33797,6165
12/23/03,1100,33338,6110
12/23/03,1200,32732,5996
12/23/03,1300,32066,5860
12/23/03,1400,31691,5794
12/23/03,1500,31181,5709
12/23/03,1600,30962,5642
12/23/03,1700,32359,5805
12/23/03,1800,35907,6333
12/23/03,1900,36230,6418
12/23/03,2000,35721,6336
12/23/03,2100,35026,6267
12/23/03,2200,33491,6068
12/23/03,2300,31185,5702
12/23/03,2400,28231,5197
12/22/03,100,28753,5667
12/22/03,200,27672,5566
12/22/03,300,27349,5551
12/22/03,400,27423,5548
12/22/03,500,28141,5568
12/22/03,600,30324,5897
12/22/03,700,34128,6442
12/22/03,800,36384,6700
12/22/03,900,36540,6740
12/22/03,1000,36097,6696
12/22/03,1100,35603,6628
12/22/03,1200,34730,6461
12/22/03,1300,33962,6286
12/22/03,1400,33594,6187
12/22/03,1500,33143,6206
12/22/03,1600,32831,6191
12/22/03,1700,34426,6440
12/22/03,1800,38032,6838
12/22/03,1900,38391,6905
12/22/03,2000,37892,6870
12/22/03,2100,37101,6793
12/22/03,2200,35521,6584
12/22/03,2300,32786,6201
12/22/03,2400,29597,5677
12/21/03,100,30300,6053
12/21/03,200,29014,5848
12/21/03,300,28482,5799
12/21/03,400,28304,5774
12/21/03,500,28462,5810
12/21/03,600,29153,5884
12/21/03,700,30330,6083
12/21/03,800,31457,6301
12/21/03,900,32746,6546
12/21/03,1000,33437,6642
12/21/03,1100,33419,6582
12/21/03,1200,32900,6392
12/21/03,1300,32228,6292
12/21/03,1400,31642,6140
12/21/03,1500,31038,6016
12/21/03,1600,31080,5934
12/21/03,1700,32928,6193
12/21/03,1800,36655,6736
12/21/03,1900,37338,6921
12/21/03,2000,37277,6895
12/21/03,2100,36997,6904
12/21/03,2200,35753,6762
12/21/03,2300,33609,6402
12/21/03,2400,30857,5988
12/20/03,100,30495,6024
12/20/03,200,29164,5771
12/20/03,300,28547,5737
12/20/03,400,28283,5724
12/20/03,500,28613,5705
12/20/03,600,29571,5882
12/20/03,700,31138,6109
12/20/03,800,32580,6377
12/20/03,900,34021,6637
12/20/03,1000,34549,6750
12/20/03,1100,34426,6754
12/20/03,1200,33864,6647
12/20/03,1300,33202,6533
12/20/03,1400,32731,6449
12/20/03,1500,32463,6394
12/20/03,1600,32649,6350
12/20/03,1700,34351,6614
12/20/03,1800,37553,7085
12/20/03,1900,37836,7193
12/20/03,2000,37443,7145
12/20/03,2100,36958,7122
12/20/03,2200,36112,6943
12/20/03,2300,34607,6741
12/20/03,2400,32482,6381
12/19/03,100,30571,6214
12/19/03,200,29531,6077
12/19/03,300,28998,5999
12/19/03,400,28945,6028
12/19/03,500,29590,6092
12/19/03,600,31800,6438
12/19/03,700,35673,7007
12/19/03,800,38079,7264
12/19/03,900,38192,7243
12/19/03,1000,37845,7208
12/19/03,1100,37457,7161
12/19/03,1200,37040,7055
12/19/03,1300,36391,6983
12/19/03,1400,35950,6899
12/19/03,1500,35749,6795
12/19/03,1600,35899,6851
12/19/03,1700,37498,6981
12/19/03,1800,40466,7409
12/19/03,1900,40319,7512
12/19/03,2000,39599,7398
12/19/03,2100,38683,7292
12/19/03,2200,37328,7073
12/19/03,2300,35385,6796
12/19/03,2400,32689,6394
12/18/03,100,30373,6166
12/18/03,200,29273,6002
12/18/03,300,28818,5981
12/18/03,400,28876,5963
12/18/03,500,29460,6115
12/18/03,600,31656,6394
12/18/03,700,35760,6937
12/18/03,800,37863,7286
12/18/03,900,37918,7246
12/18/03,1000,37711,7213
12/18/03,1100,37469,7163
12/18/03,1200,37115,7109
12/18/03,1300,36640,7012
12/18/03,1400,36341,6922
12/18/03,1500,36086,6887
12/18/03,1600,36233,6859
12/18/03,1700,38033,7040
12/18/03,1800,41257,7575
12/18/03,1900,41434,7670
12/18/03,2000,40980,7604
12/18/03,2100,40358,7588
12/18/03,2200,39018,7376
12/18/03,2300,36179,6975
12/18/03,2400,32892,6539
12/17/03,100,27913,5675
12/17/03,200,26816,5492
12/17/03,300,26176,5450
12/17/03,400,25896,5484
12/17/03,500,26453,5628
12/17/03,600,28397,5947
12/17/03,700,32252,6505
12/17/03,800,34989,6849
12/17/03,900,35237,6862
12/17/03,1000,35417,6858
12/17/03,1100,35549,6887
12/17/03,1200,35571,6954
12/17/03,1300,35489,6996
12/17/03,1400,35751,6993
12/17/03,1500,35955,6935
12/17/03,1600,36395,6925
12/17/03,1700,38056,7094
12/17/03,1800,40632,7646
12/17/03,1900,40827,7760
12/17/03,2000,40457,7697
12/17/03,2100,39713,7623
12/17/03,2200,38171,7397
12/17/03,2300,35464,6989
12/17/03,2400,32428,6490
12/16/03,100,30269,6035
12/16/03,200,29156,5885
12/16/03,300,28715,5896
12/16/03,400,28780,5899
12/16/03,500,29516,6068
12/16/03,600,31854,6439
12/16/03,700,36007,7031
12/16/03,800,38082,7301
12/16/03,900,37585,7218
12/16/03,1000,36808,7006
12/16/03,1100,35906,6841
12/16/03,1200,35086,6652
12/16/03,1300,34411,6470
12/16/03,1400,33995,6318
12/16/03,1500,33588,6221
12/16/03,1600,33612,6217
12/16/03,1700,35513,6455
12/16/03,1800,39002,7007
12/16/03,1900,39198,7180
12/16/03,2000,38753,7149
12/16/03,2100,38017,7132
12/16/03,2200,36417,6889
12/16/03,2300,33535,6491
12/16/03,2400,30342,5967
12/15/03,100,28591,5767
12/15/03,200,27778,5625
12/15/03,300,27529,5579
12/15/03,400,27679,5620
12/15/03,500,28434,5743
12/15/03,600,30743,6051
12/15/03,700,34412,6515
12/15/03,800,37035,6858
12/15/03,900,37698,7031
12/15/03,1000,37775,7101
12/15/03,1100,37440,7053
12/15/03,1200,37011,6991
12/15/03,1300,36535,6839
12/15/03,1400,36072,6732
12/15/03,1500,35707,6617
12/15/03,1600,35760,6663
12/15/03,1700,37289,6834
12/15/03,1800,40888,7392
12/15/03,1900,41106,7479
12/15/03,2000,40578,7504
12/15/03,2100,39861,7436
12/15/03,2200,38194,7196
12/15/03,2300,35482,6802
12/15/03,2400,32343,6309
12/14/03,100,29306,5692
12/14/03,200,27929,5536
12/14/03,300,27285,5475
12/14/03,400,27058,5507
12/14/03,500,27204,5507
12/14/03,600,27909,5612
12/14/03,700,28994,5808
12/14/03,800,30370,5980
12/14/03,900,32226,6355
12/14/03,1000,33929,6608
