Date,Hour,PJM_Load
12/31/01,100,29001
12/31/01,200,28138
12/31/01,300,27830
12/31/01,400,27874
12/31/01,500,28427
12/31/01,600,29688
12/31/01,700,31942
12/31/01,800,33380
12/31/01,900,34339
12/31/01,1000,34757
12/31/01,1100,34970
12/31/01,1200,34428
12/31/01,1300,33642
12/31/01,1400,32719
12/31/01,1500,31941
12/31/01,1600,31759
12/31/01,1700,33587
12/31/01,1800,37568
12/31/01,1900,37570
12/31/01,2000,36392
12/31/01,2100,35082
12/31/01,2200,33890
12/31/01,2300,32590
12/31/01,2400,31569
12/30/01,100,28326
12/30/01,200,27362
12/30/01,300,27108
12/30/01,400,26865
12/30/01,500,26808
12/30/01,600,27352
12/30/01,700,28403
12/30/01,800,29305
12/30/01,900,30329
12/30/01,1000,31206
12/30/01,1100,31460
12/30/01,1200,31384
12/30/01,1300,31058
12/30/01,1400,30583
12/30/01,1500,30150
12/30/01,1600,30235
12/30/01,1700,31981
12/30/01,1800,35848
12/30/01,1900,36532
12/30/01,2000,36353
12/30/01,2100,35974
12/30/01,2200,34979
12/30/01,2300,33331
12/30/01,2400,31014
12/29/01,100,27925
12/29/01,200,26721
12/29/01,300,26111
12/29/01,400,25832
12/29/01,500,25867
12/29/01,600,26404
12/29/01,700,27381
12/29/01,800,28609
12/29/01,900,30073
12/29/01,1000,31518
12/29/01,1100,31890
12/29/01,1200,31296
12/29/01,1300,30422
12/29/01,1400,29566
12/29/01,1500,29046
12/29/01,1600,29101
12/29/01,1700,30710
12/29/01,1800,34092
12/29/01,1900,34788
12/29/01,2000,34604
12/29/01,2100,34216
12/29/01,2200,33411
12/29/01,2300,32058
12/29/01,2400,30080
12/28/01,100,28511
12/28/01,200,27574
12/28/01,300,27139
12/28/01,400,27198
12/28/01,500,27772
12/28/01,600,29414
12/28/01,700,32066
12/28/01,800,33942
12/28/01,900,34705
12/28/01,1000,35134
12/28/01,1100,35049
12/28/01,1200,34415
12/28/01,1300,33481
12/28/01,1400,32985
12/28/01,1500,32639
12/28/01,1600,32490
12/28/01,1700,33859
12/28/01,1800,36840
12/28/01,1900,36773
12/28/01,2000,35941
12/28/01,2100,35138
12/28/01,2200,33979
12/28/01,2300,32054
12/28/01,2400,29997
12/27/01,100,28332
12/27/01,200,27329
12/27/01,300,26986
12/27/01,400,27009
12/27/01,500,27555
12/27/01,600,29332
12/27/01,700,32132
12/27/01,800,33888
12/27/01,900,34827
12/27/01,1000,34997
12/27/01,1100,35021
12/27/01,1200,34786
12/27/01,1300,34341
12/27/01,1400,34121
12/27/01,1500,33726
12/27/01,1600,33546
12/27/01,1700,34757
12/27/01,1800,38391
12/27/01,1900,38743
12/27/01,2000,37919
12/27/01,2100,37161
12/27/01,2200,35743
12/27/01,2300,33252
12/27/01,2400,30659
12/26/01,100,25144
12/26/01,200,24246
12/26/01,300,23839
12/26/01,400,23820
12/26/01,500,24564
12/26/01,600,26255
12/26/01,700,28981
12/26/01,800,31268
12/26/01,900,32455
12/26/01,1000,33188
12/26/01,1100,33274
12/26/01,1200,33192
12/26/01,1300,32620
12/26/01,1400,32088
12/26/01,1500,31577
12/26/01,1600,31453
12/26/01,1700,33083
12/26/01,1800,37104
12/26/01,1900,37531
12/26/01,2000,37000
12/26/01,2100,36376
12/26/01,2200,35099
12/26/01,2300,32732
12/26/01,2400,30328
12/25/01,100,26466
12/25/01,200,25154
12/25/01,300,24415
12/25/01,400,24156
12/25/01,500,24300
12/25/01,600,24975
12/25/01,700,26130
12/25/01,800,27211
12/25/01,900,28191
12/25/01,1000,28909
12/25/01,1100,28811
12/25/01,1200,28259
12/25/01,1300,27366
12/25/01,1400,26864
12/25/01,1500,25667
12/25/01,1600,25709
12/25/01,1700,27226
12/25/01,1800,29990
12/25/01,1900,30362
12/25/01,2000,30510
12/25/01,2100,30692
12/25/01,2200,30230
12/25/01,2300,28868
12/25/01,2400,26833
12/24/01,100,23811
12/24/01,200,22421
12/24/01,300,21629
12/24/01,400,21678
12/24/01,500,21634
12/24/01,600,22770
12/24/01,700,24686
12/24/01,800,26463
12/24/01,900,27988
12/24/01,1000,29121
12/24/01,1100,29263
12/24/01,1200,28937
12/24/01,1300,28370
12/24/01,1400,27817
12/24/01,1500,27612
12/24/01,1600,27584
12/24/01,1700,29106
12/24/01,1800,32592
12/24/01,1900,32211
12/24/01,2000,31251
12/24/01,2100,30846
12/24/01,2200,30568
12/24/01,2300,29717
12/24/01,2400,28106
12/23/01,100,27141
12/23/01,200,25425
12/23/01,300,24901
12/23/01,400,24633
12/23/01,500,24684
12/23/01,600,25327
12/23/01,700,26357
12/23/01,800,27471
12/23/01,900,28661
12/23/01,1000,28931
12/23/01,1100,28564
12/23/01,1200,27879
12/23/01,1300,27441
12/23/01,1400,26971
12/23/01,1500,26666
12/23/01,1600,26989
12/23/01,1700,29163
12/23/01,1800,32119
12/23/01,1900,32279
12/23/01,2000,31896
12/23/01,2100,31354
